id_releve,x_l93,y_l93,x_UTM32N,y_UTM32N
10400805,1000689,6540557,335514,5084923
10400806,1000668,6540567,335493,5084934
10400811,1000692,6540504,335513,5084870
10400816,1000691,6540568,335517,5084934
10400821,1000637,6540525,335459,5084895
10400823,1000716,6540542,335539,5084906
10400824,1000680,6540488,335499,5084855
10400936,1000846,6540578,335672,5084932
10400939,1000913,6540533,335735,5084882
10400941,1000862,6540571,335687,5084924
10400943,1000872,6540627,335702,5084979
10400944,1000854,6540543,335677,5084896
10400946,1000908,6540529,335730,5084878
10400948,1000842,6540604,335670,5084958
10400950,1000915,6540574,335741,5084923
10401268,1001019,6540412,335832,5084753
10401270,1000889,6540304,335694,5084655
10401601,1001027,6540474,335845,5084814
10401604,1001002,6540519,335823,5084861
10401606,1000867,6540266,335669,5084619
10401610,1000937,6540308,335742,5084656
10401614,1000991,6540377,335801,5084720
10401616,1001025,6540524,335846,5084864
10401618,1000921,6540348,335729,5084697
10401621,1000958,6540206,335756,5084552
10401624,1000894,6540195,335691,5084546
10401628,1000979,6540175,335774,5084520
10401632,1001007,6540173,335802,5084516
10401635,1000943,6540183,335739,5084530
10401637,1000867,6540186,335663,5084539
10401639,1001133,6540431,335947,5084764
10401640,1001110,6540447,335925,5084781
10401642,1001096,6540449,335912,5084784
10401733,1005753,6552175,341447,5096134
10401735,1005777,6552162,341470,5096119
10401736,1005892,6552258,341592,5096206
10401737,1005778,6552142,341470,5096099
10401738,1007922,6552062,343603,5095856
10401739,1007931,6552101,343615,5095895
10401740,1005894,6552266,341595,5096214
10401741,1005858,6552244,341557,5096194
10401742,1007829,6552201,343521,5096002
10401743,1007645,6552197,343337,5096012
10401744,1007600,6552172,343290,5095991
10401745,1007741,6552194,343432,5096002
10401746,1007814,6552206,343506,5096008
10401892,1007869,6552158,343558,5095956
10401893,1007648,6552228,343342,5096043
10401894,1007860,6552163,343549,5095962
10401896,1007894,6552165,343583,5095961
10401897,1007737,6552258,343433,5096066
10401898,1007650,6552206,343343,5096021
10401899,1007664,6552207,343357,5096021
10404303,1007835,6552121,343521,5095922
10406707,1007627,6552188,343318,5096005
10406718,1007676,6552224,343370,5096037
10406723,1007777,6552181,343467,5095986
10406726,1007897,6552138,343584,5095934
10406729,1007767,6552110,343452,5095916
10407646,1007837,6552126,343523,5095927
10407647,1007879,6552140,343566,5095938
10407649,1007794,6552135,343481,5095939
10407650,1007803,6552160,343492,5095963
10407651,1007846,6552121,343532,5095921
10407652,1007861,6552105,343546,5095904
