id_releve,x_l93,y_l93,alti,slope,expo,TPI
10401735,1005777,6552162,1510.050049,11.56124783,253.6035156,-0.034912109
10401736,1005892,6552258,1546.890015,17.46069717,269.0888672,-0.012573242
10401737,1005778,6552142,1509.890015,15.0138483,252.6462097,0.008666992
10401738,1007922,6552062,2501.939941,16.80747414,308.0061646,0.103759766
10401739,1007931,6552101,2491.25,22.57798004,328.6240234,0.148681641
10401740,1005894,6552266,1548.540039,18.13234138,267.8562622,-0.010009766
10401741,1005858,6552244,1537.949951,16.78525925,272.898468,-0.006347656
10401742,1007829,6552201,2445.610107,19.01284218,272.4526978,0.016357422
10401743,1007645,6552197,2372.840088,26.94991875,338.8726196,0.181396484
10401744,1007600,6552172,2360.669922,33.23912811,276.4172668,0.207275391
10401745,1007741,6552194,2411.090088,23.61556244,256.7116089,0.118896484
10401746,1007814,6552206,2440.179932,19.58247757,278.0361328,0.026123047
10401892,1007869,6552158,2460.790039,18.52857971,276.5093384,0.047363281
10401893,1007648,6552228,2366.5,23.70871735,266.868103,-0.197753906
10401894,1007860,6552163,2456.929932,21.15912437,277.1990967,-0.007568359
10401896,1007894,6552165,2467.310059,13.38000965,249.1263123,-0.111328125
10401897,1007737,6552258,2412.560059,28.92663574,224.2670441,0.002441406
10401898,1007650,6552206,2369.189941,22.6544838,323.6735535,-0.3125
10401899,1007664,6552207,2375.290039,33.74774551,289.3161926,-0.580078125
10404303,1007835,6552121,2452.330078,21.75335121,282.7046814,-0.247314453
10406707,1007627,6552188,2368.340088,26.08169365,308.2799988,0.115234375
10406718,1007676,6552224,2379.389893,30.01581001,271.5879517,-0.228759766
10406723,1007777,6552181,2424.199951,23.43074799,277.1575317,-0.12890625
10406726,1007897,6552138,2468.22998,14.10312366,288.1462097,0.038574219
10406729,1007767,6552110,2431.570068,28.29208755,313.5692749,-0.301025391
10407646,1007837,6552126,2452.159912,19.52781868,283.5749207,0.141113281
10407647,1007879,6552140,2464.439941,15.59485912,279.5375061,0.022460938
10407649,1007794,6552135,2437.27002,19.08695984,291.1333008,0.011474609
10407650,1007803,6552160,2437.899902,20.11736488,280.4227905,-0.023681641
10407651,1007846,6552121,2456.300049,21.47743225,297.1028442,0.008544922
10407652,1007861,6552105,2465.610107,26.95636368,311.0545349,0.1015625
10407653,1007687,6552113,2405.429932,12.49574852,297.5481262,0.232421875
10407654,1007879,6552143,2464.22998,15.18364716,277.9945068,0.014892578
10407656,1007890,6552124,2468.659912,20.08504868,308.7265625,-0.193847656
10407658,1007712,6552172,2396.290039,13.91028023,274.9198303,-0.367675781
10407664,1007851,6552136,2455.27002,17.41124916,287.3945923,-0.201416016
10407665,1007780,6552124,2433.100098,26.29375267,300.6656494,-0.217285156
10407666,1008097,6551993,2554.969971,25.61997223,302.6538696,-0.246337891
10407671,1008052,6552013,2540.48999,16.0042038,341.5002747,-0.093505859
10407674,1008174,6551957,2589.800049,19.56002808,306.934845,-0.177734375
10407676,1008082,6552031,2548.330078,29.57212639,254.1996918,-0.007324219
10407681,1008080,6552044,2550.310059,27.19104195,262.2241516,0.138671875
10407684,1008104,6552003,2558.719971,30.75740433,266.1222229,-0.311035156
10407895,1007962,6552025,2525.070068,25.87807465,325.7544861,0.185058594
10407900,1008123,6551965,2574.25,21.46249962,314.6402283,0.098876953
10407906,1005878,6552247,1544,16.29782295,273.7745361,0.008666992
10407910,1008247,6551928,2615.370117,22.06983757,309.2450867,-0.064941406
10407912,1007915,6552071,2498.22998,20.96066856,319.6061401,0.095214844
10407916,1007925,6552089,2493.649902,23.31055641,327.0296021,0.088867188
10407919,1007711,6551990,2454.23999,24.64597702,310.6679993,0.026123047
10407931,1001042,6540326,2288.879883,31.50504684,271.3317871,-0.030273438
10407935,1001049,6540291,2293.040039,23.08206558,265.7602844,0.007568359
10407939,1001051,6540266,2293.360107,27.55557251,276.4359741,0.017578125
10408065,1000878,6540231,2240.51001,13.01342583,309.822998,-0.268798828
10408068,1000838,6540214,2240.860107,18.28504944,343.1529541,-0.227294922
10408070,1000811,6540220,2239.399902,13.97693729,7.969555378,0.010986328
10408072,1000775,6540193,2243.219971,16.6047039,309.8318481,0.159912109
10408074,1000756,6540203,2236.439941,18.27127647,317.4543457,-0.026367188
10408076,1000742,6540243,2224.76001,13.29972363,291.4613037,-0.067626953
10408078,1000683,6540247,2202.27002,27.70270538,304.8777161,-0.092773438
10408079,1000690,6540257,2201.580078,28.30031013,300.4344482,-0.159912109
10408080,1000702,6540276,2201.97998,29.06594086,290.8964844,-0.116210938
10408083,1000669,6540262,2192.209961,26.48165512,301.8320007,0.033691406
10408085,1000815,6540447,2188.199951,19.34838295,268.3684998,-0.091308594
10408097,1000787,6540462,2179.76001,15.31582355,262.4481506,-0.197509766
10408098,1000808,6540515,2184.439941,32.05905914,287.9716187,0.061279297
10408099,1000810,6540546,2177.189941,32.4603157,298.2671814,0.073730469
10966110,1008173,6551916,2606.919922,30.87934685,343.8824768,-0.027832031
10966733,1000655,6540537,2108.439941,31.23077393,279.0852356,-0.002685547
10966735,1000688,6540535,2126.389893,24.89028931,289.3526001,0.09375
10966736,1000724,6540561,2136.320068,25.62956238,303.3516235,0.087646484
10966738,1000870,6540561,2193.909912,23.44802284,309.9490662,-0.002685547
10966739,1000918,6540470,2230.560059,32.50304794,299.9145203,0.078857422
10966741,1000877,6540537,2201.350098,16.68894958,314.932373,0.026367188
10966743,1000908,6540479,2222.22998,30.11086082,296.3323364,0.042480469
10966744,1000921,6540474,2228.860107,31.73728371,301.0743103,-0.061035156
10966751,1000879,6540544,2200.409912,17.72076607,309.0942688,0.017333984
10966752,1000951,6540255,2261.419922,11.12781143,248.2956543,0.083984375
10966754,1000984,6540516,2240.139893,30.71771431,327.6143188,0.129882813
10966757,1000914,6540262,2250.340088,19.78239059,268.1669312,0.117675781
10966759,1000951,6540385,2257.949951,12.65446758,272.8701782,0.022460938
10966765,1000990,6540398,2267.840088,19.89287949,301.2080688,0.002685547
10966770,1000924,6540389,2252.169922,16.48734856,274.0193787,0.169921875
10966776,1001018,6540206,2282.949951,43.36042404,281.9169312,0.141113281
10966780,1000977,6540190,2269.219971,10.95787621,319.3977356,0.014892578
10966784,1001044,6540213,2299.850098,34.18401337,293.3085327,0.083984375
10966786,1001090,6540460,2282.25,40.057724,316.8313293,-0.291259766
10971256,969204,6431887,2437.040039,6.675346851,248.3128967,-0.033691406
10971257,968768,6431594,2326.639893,38.98044968,50.31427002,0.056152344
10971258,968865,6431517,2305.580078,36.2458992,58.41302872,-0.421142578
10971259,968889,6431904,2323.949951,16.67499352,206.2006073,0.016113281
10971260,968832,6431609,2295,18.1495266,57.83743668,-0.028564453
10971261,969264,6431735,2457.590088,28.48462677,233.4689789,-0.248535156
10971262,968873,6431845,2303.939941,15.80129623,209.4194794,-0.251464844
10971263,969257,6432014,2448.419922,9.773397446,270.4161987,-0.012695313
10971264,969031,6431476,2264.550049,17.57106018,54.64102936,-0.048583984
10971265,968945,6432000,2363.300049,41.31089783,246.4248047,-0.695068359
10971266,968640,6432061,2388.75,19.83781242,191.1072845,-0.278808594
10971267,968918,6432087,2373.100098,15.13764095,189.2544861,-0.331054688
10971268,968862,6432134,2379.590088,17.47379112,213.3379059,-0.12109375
10971269,968937,6432021,2363.72998,22.15577698,248.647522,-0.061279297
10971270,968735,6431858,2320.280029,26.99316978,110.2137375,0.081298828
10971271,968545,6432238,2493.679932,17.39431381,135.6456909,0.037353516
10971272,968826,6431919,2318.110107,16.12265205,196.4268188,-0.08984375
10971273,969239,6431935,2445.939941,15.27313805,262.9526672,-0.010009766
10971274,969228,6431843,2443.129883,21.972929,268.118866,-0.113769531
10971275,968796,6431916,2317.620117,12.36227512,167.8188782,-0.001220703
10971276,968782,6432071,2372.320068,22.44063568,124.0947113,0.102539063
10971277,968552,6432210,2485.120117,21.50523758,133.4044647,0.010253906
10971278,968535,6432336,2514.830078,15.24274731,119.5744019,0.132324219
10971279,969305,6431884,2483.070068,32.78052139,289.6443176,-0.021240234
10971280,968947,6431895,2332.179932,21.25239182,212.5056763,-0.051513672
10971281,968632,6432036,2386.100098,16.66866493,95.558815,0.028808594
10971282,969225,6432032,2444.050049,7.57016325,267.3044739,0.017578125
10971283,968943,6431494,2281.449951,23.06316757,55.52696228,-0.047607422
10971284,968850,6431576,2298.219971,17.2611084,41.28247833,0.048828125
10971285,969239,6431899,2445.389893,26.54899025,271.4328613,-0.315185547
