"","cd_ref","nom_reconnu_ss_auteur","CHOROLOGIE","sexualité","pollinisation","inflorescence","fruit","dissémination","TYPE_BIOLOGIQUE","FORMATION_VEGETALE","CARACT_ECOLOG_HABITAT_OPTI","INDICATION_PHYTOSOCIOLOGIQUE_CARACTERISTIQUE","SA_CSR","dissemination_compil","pollinisation_compil","famille","nom_valide","tax_type","nbre_obs","annee_min","annee_max"
"37",84540,"Asplenium viride","orophyte circumboréal","monoïque","hydrogame",NA,NA,"anémochore","hces","hémicryptophytaie","chasmophytes de parois européennes, basophiles, sciaphiles, psychrophiles, médio-européennes","Cystopteridion fragilis (Nordhagen 1936) Richard 1972",NA,"anémochore","hydrogame","Aspleniaceae","Asplenium viride Huds., 1762","P",1,2020,2020
"38",84937,"Astrantia minor","orophyte méridional","hermaphrodite","entomogame","ombelle d'ombellules","akène","épizoochore","heri","hémicryptophytaie","pelouses acidophiles montagnardes à subalpines","Trifolio alpini - Meetalia athamantici de Foucault 1994","ccs","barochore","entomogame","Apiaceae","Astrantia minor L., 1753","P",2,2019,2019
"39",84998,"Athyrium distentifolium","circumboréal","monoïque","hydrogame",NA,NA,"autochore","Hces","hémicryptophytaie","mégaphorbiaies boréales à subalpines, ombragées","Dryopterido filicis-maris - Athyrion distentifolii Holub in Holub, Hejný, Moravec & Neuhäusl 1967","ccs","anémochore",NA,"Athyriaceae","Athyrium distentifolium Tausch ex Opiz, 1820","P",11,2019,2020
"40",84999,"Athyrium filix-femina","circumboréal","monoïque","hydrogame",NA,NA,"autochore","Hces","hémicryptophytaie","ourlets internes et clairières vivaces médio-européennes, eutrophiles, mésohygrophiles","Circaeo lutetianae - Stachyetalia sylvaticae Passarge 1967","ccs","anémochore",NA,"Athyriaceae","Athyrium filix-femina (L.) Roth, 1799","P",1,2019,2019
"41",85418,"Avenella flexuosa","circumboréal","hermaphrodite","anémogame","panicule d'épillets","caryopse","épizoochore","hces","hémicryptophytaie","ourlets acidophiles médio-européens","Melampyro pratensis - Holcetea mollis Passarge 1979",NA,"épizoochore","anémogame","Poaceae","Avenella flexuosa (L.) Drejer, 1838","P",23,2019,2020
"42",85602,"Bartsia alpina","arctico-alpin","hermaphrodite","entomogame","racème simple","capsule","épizoochore","hsto-hpar","hémicryptophytaie","parvocariçaies des tourbières basses basophiles, arctico-alpines à boréo-subalpines","Junco triglumis - Equisetetalia variegati (Julve 1983 em. de Foucault 1984) Julve 1993","rss","barochore","entomogame","Orobanchaceae","Bartsia alpina L., 1753","P",9,2019,2020
"43",85903,"Betula pendula","eurasiatique","monoïque","anémogame","épi de cymes triflores","akène","anémochore","A-cad","magnophanérophytaie","associations arborescentes pionnières plutôt héliophiles, oligotrophiles, mésohydriques","Betulion pendulae Lakušic, Pavlovic, Abadžic & Grgic 1978","ccs","anémochore","anémogame","Betulaceae","Betula pendula Roth, 1788","P",6,2019,2020
"44",85904,"Betula pubescens","eurasiatique","monoïque","anémogame","épi de cymes triflores","akène","anémochore","A-cad","magnophanérophytaie","associations arborescentes pionnières plutôt héliophiles, oligotrophiles, hygrophiles","Betulion pubescentis Lohmeyer & Tüxen ex Oberdorfer 1957",NA,"anémochore","anémogame","Betulaceae","Betula pubescens Ehrh., 1791","P",8,2019,2020
"45",86082,"Bistorta vivipara","circumboréal","hermaphrodite, monoïque","entomogame","épi de cymes triflores","akène","barochore","gtub","hémicryptophytaie","pelouses acidophiles arctico-alpines climaciques, chionophobes","Caricetea curvulae subsp. curvulae Braun-Blanquet 1948",NA,"barochore","entomogame","Polygonaceae","Bistorta vivipara (L.) Delarbre, 1800","P",1,2019,2019
"46",86183,"Botrychium lunaria","cosmopolite(psychro)","monoïque","hydrogame",NA,NA,"autochore","heri","hémicryptophytaie","pelouses acidophiles médio-européennes à boréo-subalpines","Nardetea strictae Rivas Goday & Borja-Carbonell 1961 em. de Foucault 1994","crs","anémochore",NA,"Ophioglossaceae","Botrychium lunaria (L.) Sw., 1801","P",9,2019,2020
"47",86301,"Brachypodium rupestre","méditerranéen(eury)-atlantique(eury)","hermaphrodite","anémogame","épi d'épillets","caryopse","épizoochore","hces","hémicryptophytaie","ourlets basophiles médio-européens","Trifolio medii - Geranietea sanguinei Müller 1962","ccs","barochore","anémogame","Poaceae","Brachypodium rupestre (Host) Roem. & Schult., 1817","P",1,2019,2019
"48",87100,"Bupleurum stellatum","orophyte alpien","hermaphrodite","entomogame","ombelle d'ombellules","akène","barochore","heri","hémicryptophytaie","lithophytes des replats de falaises européennes, acidophiles, subalpines à alpines, alpiennes","Androsacion vandellii Braun-Blanquet in Braun-Blanquet & Jenny 1926",NA,"barochore","entomogame","Apiaceae","Bupleurum stellatum L., 1753","P",1,2020,2020
"49",87299,"Calamagrostis villosa","eurasiatique","hermaphrodite","anémogame","panicule d'épillets","caryopse","anémochore","Grhi","hémicryptophytaie","mégaphorbiaies subalpines à montagnardes, mésohydriques, méso-oligotrophiles, acidophiles, héliophiles","Calamagrostion villosae Pawlowski in Pawlowski, Sokolowski & Wallisch 1928","ccs","anémochore","anémogame","Poaceae","Calamagrostis villosa (Chaix) J.F.Gmel., 1791","P",2,2019,2019
"50",87501,"Calluna vulgaris","européen","hermaphrodite","entomogame, anémogame","racème simple","capsule","anémochore","Cfru-semp","magnochaméphytaie","landes circumboréales à montagnardes-subalpines","Calluno vulgaris - Vaccinietea myrtilli (Braun-Blanquet, Sissingh & Vlieger 1939) de Foucault 1990","css","barochore","entomogame, anémogame","Ericaceae","Calluna vulgaris (L.) Hull, 1808","P",5,2019,2020
"51",87607,"Campanula barbata","orophyte européen","hermaphrodite","entomogame, autogame","racème simple","capsule","barochore","hros","hémicryptophytaie","pelouses acidophiles fermées, subalpines à alpines, chionophiles, alpiennes et hercyniennes, des ubacs","Campanulo barbatae - Potentillion aureae de Foucault 1994","crs","barochore","entomogame, autogame","Campanulaceae","Campanula barbata L., 1759","P",3,2020,2020
"52",87618,"Campanula cenisia","orophyte alpien occ.","hermaphrodite","entomogame, autogame","fleur solitaire terminale","capsule","barochore","hros","hémicryptophytaie","Gprts vivaces des éboulis fins stabilisés sur schistes calcareux et moraines des étages alpin et nival","Drabion hoppeanae Zollitsch 1968","css","barochore","entomogame, autogame","Campanulaceae","Campanula cenisia L., 1763","P",2,2020,2020
